x,y
0,0
0.1,0.0998219
0.2,0.19863
0.3,0.295438
0.4,0.389281
0.5,0.479221
0.6,0.564363
0.7,0.643856
0.8,0.716909
0.9,0.782792
1,0.840849
1.1,0.890502
1.2,0.931255
1.3,0.962703
1.4,0.984533
1.5,0.996528
1.6,0.998568
1.7,0.990634
1.8,0.972806
1.9,0.945262
2,0.908278
2.1,0.862224
2.2,0.807559
2.3,0.74483
2.4,0.674662
2.5,0.597757
2.6,0.514882
2.7,0.426865
2.8,0.334584
2.9,0.23896
3,0.140948
3.1,0.0415259
3.2,-0.0583136
3.3,-0.157574
3.4,-0.255264
3.5,-0.350409
3.6,-0.442059
3.7,-0.529299
3.8,-0.611257
3.9,-0.687116
4,-0.756117
4.1,-0.817571
4.2,-0.870865
4.3,-0.915464
4.4,-0.950924
4.5,-0.97689
4.6,-0.9931
4.7,-0.999392
4.8,-0.995703
4.9,-0.982067
5,-0.958619
5.1,-0.925593
5.2,-0.883316
5.3,-0.832208
5.4,-0.77275
5.5,-0.705468
5.6,-0.631151
5.7,-0.550543
5.8,-0.464449
5.9,-0.373729
6,-0.27929
6.1,-0.182074
6.2,-0.0830517
6.3,0.0167877
6.4,0.116448
6.5,0.214934
6.6,0.311264
6.7,0.404475
6.8,0.493638
6.9,0.577863
7,0.65631
7.1,0.728196
7.2,0.792805
7.3,0.84949
7.4,0.897688
7.5,0.936918
7.6,0.966787
7.7,0.986999
7.8,0.997352
7.9,0.997743
8,0.988167
8.1,0.968722
8.2,0.939599
8.3,0.901092
8.4,0.853583
8.5,0.797546
8.6,0.733542
8.7,0.662208
8.8,0.584257
8.9,0.500466
9,0.411671
9.1,0.318758
9.2,0.222656
9.3,0.124322
9.4,0.0247382
9.5,-0.0751013
9.6,-0.1742
9.7,-0.271568
9.8,-0.366235
9.9,-0.457253
10,-0.544021
