x,y,val
-2,-2,-0.000670925
-2,-1.95,-0.00086185
-2,-1.9,-0.00105277
-2,-1.85,-0.0012437
-2,-1.8,-0.00143462
-2,-1.75,-0.00178391
-2,-1.7,-0.0021332
-2,-1.65,-0.00248248
-2,-1.6,-0.00283177
-2,-1.55,-0.00341378
-2,-1.5,-0.0039958
-2,-1.45,-0.00457781
-2,-1.4,-0.00515982
-2,-1.35,-0.00603961
-2,-1.3,-0.0069194
-2,-1.25,-0.00779918
-2,-1.2,-0.00867897
-2,-1.15,-0.0098782
-2,-1.1,-0.0110774
-2,-1.05,-0.0122767
-2,-1,-0.0134759
-2,-0.95,-0.0149358
-2,-0.9,-0.0163956
-2,-0.85,-0.0178555
-2,-0.8,-0.0193154
-2,-0.75,-0.0208757
-2,-0.7,-0.0224361
-2,-0.65,-0.0239964
-2,-0.6,-0.0255568
-2,-0.55,-0.0269714
-2,-0.5,-0.0283859
-2,-0.45,-0.0298005
-2,-0.4,-0.0312151
-2,-0.35,-0.0322101
-2,-0.3,-0.033205
-2,-0.25,-0.0342
-2,-0.2,-0.0351949
-2,-0.15,-0.035554
-2,-0.1,-0.0359131
-2,-0.05,-0.0362722
-2,1.20737e-15,-0.0366313
-2,0.05,-0.0362722
-2,0.1,-0.0359131
-2,0.15,-0.035554
-2,0.2,-0.0351949
-2,0.25,-0.0342
-2,0.3,-0.033205
-2,0.35,-0.0322101
-2,0.4,-0.0312151
-2,0.45,-0.0298005
-2,0.5,-0.0283859
-2,0.55,-0.0269714
-2,0.6,-0.0255568
-2,0.65,-0.0239964
-2,0.7,-0.0224361
-2,0.75,-0.0208757
-2,0.8,-0.0193154
-2,0.85,-0.0178555
-2,0.9,-0.0163956
-2,0.95,-0.0149358
-2,1,-0.0134759
-2,1.05,-0.0122767
-2,1.1,-0.0110774
-2,1.15,-0.0098782
-2,1.2,-0.00867897
-2,1.25,-0.00779918
-2,1.3,-0.0069194
-2,1.35,-0.00603961
-2,1.4,-0.00515982
-2,1.45,-0.00457781
-2,1.5,-0.0039958
-2,1.55,-0.00341378
-2,1.6,-0.00283177
-2,1.65,-0.00248248
-2,1.7,-0.0021332
-2,1.75,-0.00178391
-2,1.8,-0.00143462
-2,1.85,-0.0012437
-2,1.9,-0.00105277
-2,1.95,-0.00086185
-1.95,-2,-0.00086185
-1.95,-1.95,-0.00106103
-1.95,-1.9,-0.00129608
-1.95,-1.85,-0.00153113
-1.95,-1.8,-0.00176618
-1.95,-1.75,-0.00219619
-1.95,-1.7,-0.00262621
-1.95,-1.65,-0.00305622
-1.95,-1.6,-0.00348623
-1.95,-1.55,-0.00420275
-1.95,-1.5,-0.00491928
-1.95,-1.45,-0.0056358
-1.95,-1.4,-0.00635232
